//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 10-11-2015
//--  Time: 15:40
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 20(C), 	Resistance 1: 2500 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 90(C), 	Resistance 3: 230 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
833	10.36	104 	4.067
834	10.13	101 	4.072
835	9.90	99 	4.077
836	9.67	97 	4.082
837	9.44	94 	4.087
838	9.21	92 	4.092
839	8.98	90 	4.097
840	8.74	87 	4.102
841	8.51	85 	4.106
842	8.28	83 	4.111
843	8.04	80 	4.116
844	7.80	78 	4.121
845	7.57	76 	4.126
846	7.33	73 	4.131
847	7.09	71 	4.136
848	6.85	69 	4.141
849	6.61	66 	4.146
850	6.37	64 	4.150
851	6.13	61 	4.155
852	5.88	59 	4.160
853	5.64	56 	4.165
854	5.40	54 	4.170
855	5.15	51 	4.175
856	4.90	49 	4.180
857	4.65	47 	4.185
858	4.41	44 	4.189
859	4.16	42 	4.194
860	3.90	39 	4.199
861	3.65	37 	4.204
862	3.40	34 	4.209
863	3.15	31 	4.214
864	2.89	29 	4.219
865	2.64	26 	4.224
866	2.38	24 	4.229
867	2.12	21 	4.233
868	1.86	19 	4.238
869	1.60	16 	4.243
870	1.34	13 	4.248
871	1.08	11 	4.253
872	0.81	8 	4.258
873	0.55	5 	4.263
874	0.28	3 	4.268
875	0.01	0 	4.272
876	-0.26	-3 	4.277
877	-0.53	-5 	4.282
878	-0.80	-8 	4.287
879	-1.07	-11 	4.292
880	-1.34	-13 	4.297
881	-1.62	-16 	4.302
882	-1.89	-19 	4.307
883	-2.17	-22 	4.312
884	-2.45	-25 	4.316
885	-2.73	-27 	4.321
886	-3.01	-30 	4.326
887	-3.30	-33 	4.331
888	-3.58	-36 	4.336
889	-3.87	-39 	4.341
