#Firmware: MS2/Extra release 3.3.1  20131206 18:45GMT(c)KC/JSM/JB   MS2
ToothTime,Time
ms,ms
0.87978,834.5478
0.88176,835.42957
0.88176,836.31134
0.88506,837.1964
0.88572,838.08215
0.88836,838.9705
0.88902,839.85956
0.88968,840.74927
0.891,841.64026
0.88902,842.5293
0.88968,843.419
0.88968,844.3087
0.8877,845.1964
0.88902,846.08545
0.88968,846.97516
2.6268,849.6019
0.89364,850.49554
0.86922,851.36475
0.86988,852.2346
0.87054,853.10516
0.87186,853.97705
0.87186,854.84894
0.86988,855.7188
0.87054,856.58936
0.87054,857.4599
0.86922,858.3291
0.88176,859.2109
0.85866,860.0695
0.87054,860.94006
0.8712,861.8113
0.8712,862.6825
0.87582,863.5583
0.87648,864.43475
0.87582,865.31055
0.87978,866.1903
0.87978,867.07007
0.87978,867.9498
0.88044,868.83026
0.88044,869.7107
0.88044,870.5911
0.88242,871.4736
0.88044,872.354
0.87846,873.2325
0.87648,874.10895
0.87516,874.98413
0.87318,875.8573
0.87054,876.72784
0.8679,877.59576
0.86658,878.46234
0.86526,879.3276
0.86592,880.1935
0.86526,881.0587
0.8646,881.92334
0.86328,882.7866
0.86394,883.6506
0.86262,884.5132
0.87648,885.38965
0.8481,886.23773
0.8646,887.10236
0.8679,887.9703
0.8679,888.8382
0.86988,889.70807
0.8712,890.5793
0.87318,891.45245
0.8745,892.32697
0.8745,893.2015
0.87582,894.0773
0.8745,894.9518
0.87516,895.82697
0.87384,896.7008
0.87318,897.574
0.8745,898.4485
0.87252,899.321
2.57994,901.90094
0.87978,902.7807
0.8547,903.6354
0.8547,904.49005
0.85668,905.34674
0.85668,906.2034
0.85668,907.0601
0.85602,907.91614
0.85536,908.7715
0.85602,909.6275
0.85536,910.48285
0.86526,911.3481
0.84546,912.19354
0.85536,913.0489
0.85602,913.9049
0.85734,914.76227
0.86064,915.6229
0.86262,916.48553
0.86196,917.3475
0.8646,918.2121
0.86526,919.07733
0.86592,919.94324
0.86592,920.80914
0.86658,921.6757
0.8679,922.54364
0.8679,923.41156
0.8679,924.2795
0.86658,925.14606
0.86592,926.01196
0.86526,926.8772
0.86262,927.7398
0.8613,928.60114
0.85866,929.4598
0.85536,930.3151
0.85536,931.1705
0.85602,932.0265
0.85404,932.88055
0.85404,933.7346
0.85272,934.58734
0.85338,935.44073
0.85272,936.29346
0.86592,937.15936
0.8382,937.99756
0.8547,938.85223
0.85734,939.7096
0.858,940.56757
0.85998,941.42755
0.8613,942.2889
0.86328,943.15216
0.86394,944.0161
0.86526,944.88135
0.86526,945.7466
0.86394,946.61053
0.86526,947.47577
0.8646,948.3404
0.86394,949.20435
0.86856,950.0729
0.86922,950.9421
2.5839,953.526
0.88374,954.4097
0.85932,955.26904
0.85932,956.12836
0.86064,956.989
0.85998,957.849
0.85998,958.709
0.858,959.56696
0.85734,960.4243
0.85734,961.2817
0.858,962.13965
0.86724,963.0069
0.84612,963.853
0.85866,964.7117
0.85866,965.5703
0.85932,966.4296
0.86328,967.2929
0.8646,968.15753
0.8646,969.02216
0.86724,969.8894
0.86724,970.75665
0.86856,971.6252
0.8679,972.4931
0.86856,973.36163
0.86922,974.23083
0.86988,975.1007
0.86922,975.9699
0.86724,976.83716
0.86724,977.7044
0.86592,978.5703
0.86394,979.43427
0.8613,980.2956
0.85998,981.1556
0.85734,982.01294
0.85602,982.86896
0.858,983.7269
0.85602,984.58295
0.85602,985.43896
0.85536,986.2943
0.85602,987.1503
0.8547,988.005
0.86922,988.8742
0.84018,989.7144
0.85734,990.5718
0.85998,991.43176
0.85998,992.29175
0.86196,993.1537
0.86328,994.01697
0.8646,994.8816
0.86592,995.7475
0.86658,996.6141
0.86724,997.4813
0.86592,998.3472
0.86592,999.21313
0.86592,1000.07904
0.86394,1000.943
0.86526,1001.8082
0.86658,1002.6748
2.55684,1005.2316
0.87186,1006.1035
0.84678,1006.9503
0.84876,1007.7991
0.8481,1008.64716
0.84942,1009.4966
0.84942,1010.346
0.8481,1011.1941
0.8481,1012.0422
0.84876,1012.8909
0.84744,1013.73834
0.85866,1014.597
0.83688,1015.43384
0.84876,1016.2826
0.84876,1017.13135
0.84876,1017.9801
0.85338,1018.8335
0.85338,1019.6869
0.85338,1020.5403
0.85668,1021.397
0.85668,1022.25366
0.85668,1023.11035
0.85734,1023.9677
0.858,1024.8257
0.858,1025.6837
0.85998,1026.5437
0.85932,1027.4031
0.85866,1028.2617
0.85866,1029.1204
0.85866,1029.979
0.858,1030.837
0.8547,1031.6918
0.85338,1032.5452
0.8514,1033.3966
0.84942,1034.246
0.85008,1035.0961
0.85008,1035.9462
0.84942,1036.7955
0.84744,1037.643
0.84876,1038.4917
0.84744,1039.3391
0.86064,1040.1997
0.83292,1041.0326
0.84876,1041.8813
0.85272,1042.734
0.8514,1043.5854
0.85404,1044.4395
0.85536,1045.2948
0.85602,1046.1509
0.858,1047.0089
0.85866,1047.8676
0.858,1048.7256
0.85866,1049.5842
0.858,1050.4423
0.858,1051.3003
0.85866,1052.1589
0.86196,1053.0209
0.86196,1053.8828
2.56014,1056.443
0.87582,1057.3188
0.84942,1058.1682
0.85074,1059.0189
0.8514,1059.8704
0.85074,1060.7211
0.85074,1061.5718
0.84876,1062.4205
0.84876,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
0.0,1063.2693
MARK 003
0.8745,1064.1438
0.87384,1065.0176
0.87516,1065.8927
0.87318,1066.7659
0.87252,1067.6384
0.86988,1068.5083
0.8679,1069.3762
0.86724,1070.2434
0.86724,1071.1106
0.86658,1071.9772
0.86526,1072.8424
0.86394,1073.7063
0.8646,1074.5709
0.86328,1075.4342
0.87648,1076.3107
0.84876,1077.1594
0.86526,1078.0247
0.8679,1078.8926
0.8679,1079.7605
0.86988,1080.6304
0.87186,1081.5022
0.87384,1082.376
0.87516,1083.2511
0.87582,1084.127
0.87714,1085.0042
0.87516,1085.8793
0.87714,1086.7565
0.87582,1087.6323
0.87582,1088.5082
0.8778,1089.386
0.8778,1090.2638
2.59578,1092.8596
0.8844,1093.744
0.85866,1094.6027
0.85932,1095.462
0.85998,1096.322
0.86064,1097.1826
0.85998,1098.0426
0.85932,1098.902
0.85932,1099.7614
0.85932,1100.6207
0.85998,1101.4807
0.86988,1102.3506
0.84942,1103.2
0.86064,1104.0605
0.86064,1104.9211
0.86262,1105.7838
0.86526,1106.649
0.86658,1107.5156
0.86724,1108.3828
0.86856,1109.2513
0.87054,1110.1218
0.86988,1110.9917
0.86988,1111.8616
0.8712,1112.7328
